Model Outputs
200
,,Id_5:LPelvisAngles_M,,,Id_5:LHipAngles_M,,,Id_5:LKneeAngles_M,,,Id_5:LAnkleAngles_M,,,Id_5:RPelvisAngles_M,,,Id_5:RHipAngles_M,,,Id_5:RKneeAngles_M,,,Id_5:RAnkleAngles_M,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0,7.27021,-2.74023,8.41467,-1.29152,-3.15681,-24.4438,75.0422,-12.807,-5.04954,-16.0902,-2.44406,10.4731,7.27021,2.74023,-8.41467,32.0551,7.6853,-4.28801,25.8311,-1.65038,-11.4645,5.84844,-6.38553,21.8638
36,0,7.56414,-2.78227,8.30521,0.51412,-3.60514,-24.0386,78.0239,-12.6018,-5.62955,-15.3399,-2.36901,10.119,7.56414,2.78227,-8.30521,32.5913,7.61701,-4.65426,27.9531,-1.71465,-9.42042,6.29444,-5.71889,19.7301
37,0,7.91552,-2.87509,8.21066,2.44502,-4.11262,-23.6124,80.895,-12.3636,-6.39059,-14.6069,-2.35339,10.0451,7.91552,2.87509,-8.21066,33.1524,7.62198,-5.06315,30.0507,-1.82876,-7.32689,6.90656,-5.05711,17.5514
38,0,8.31644,-3.01737,8.1318,4.49438,-4.67762,-23.1625,83.6484,-12.1012,-7.30645,-13.8822,-2.39392,10.2366,8.31644,3.01737,-8.1318,33.7051,7.70091,-5.51497,32.0723,-1.99866,-5.24393,7.65344,-4.4182,15.395
39,0,8.75608,-3.20381,8.06851,6.65233,-5.29368,-22.6863,86.2775,-11.8231,-8.34898,-13.1585,-2.48628,10.6719,8.75608,3.20381,-8.06851,34.2215,7.84796,-6.02974,33.9814,-2.23898,-3.25513,8.5116,-3.83016,13.3681
40,0,9.22183,-3.42741,8.02028,8.90416,-5.95151,-22.1818,88.7741,-11.537,-9.48256,-12.428,-2.62399,11.3187,9.22183,3.42741,-8.02028,34.662,8.05285,-6.58999,35.7296,-2.5392,-1.41448,9.45009,-3.30276,11.5195
41,0,9.69982,-3.67871,7.98587,11.2328,-6.63839,-21.6489,91.1303,-11.2502,-10.6696,-11.6828,-2.79929,12.1377,9.69982,3.67871,-7.98587,34.9986,8.30075,-7.20463,37.289,-2.90203,0.21281,10.444,-2.85578,9.93261
42,0,10.1756,-3.94586,7.96324,13.6183,-7.33765,-21.0878,93.3366,-10.9674,-11.87,-10.9149,-3.00299,13.0829,10.1756,3.94586,-7.96324,35.2018,8.57188,-7.864,38.6336,-3.31663,1.59647,11.4733,-2.4961,8.64381
43,0,10.6349,-4.21612,7.94954,16.04,-8.03098,-20.5043,95.3849,-10.6954,-13.047,-10.1155,-3.22548,14.1069,10.6349,4.21612,-7.94954,35.2491,8.8455,-8.5664,39.7489,-3.77705,2.72387,12.5182,-2.2285,7.67889
44,0,11.065,-4.47642,7.93991,18.4761,-8.69896,-19.9037,97.2655,-10.4376,-14.1616,-9.27617,-3.45575,15.1569,11.065,4.47642,-7.93991,35.1248,9.09987,-9.29279,40.6309,-4.26606,3.59268,13.5658,-2.05172,7.03892
45,0,11.4548,-4.71515,7.92933,20.906,-9.32313,-19.2954,98.9691,-10.1987,-15.1871,-8.39181,-3.68432,16.1887,11.4548,4.71515,-7.92933,34.8193,9.31664,-10.0199,41.2816,-4.76398,4.22011,14.6066,-1.9585,6.70069
46,0,11.7956,-4.92188,7.91104,23.3103,-9.88563,-18.6904,100.487,-9.98334,-16.0967,-7.45648,-3.90062,17.1551,11.7956,4.92188,-7.91104,34.3319,9.4789,-10.7458,41.7122,-5.26429,4.63482,15.6314,-1.9421,6.64117
47,0,12.0807,-5.08874,7.87888,25.6703,-10.3719,-18.1031,101.812,-9.79701,-16.8739,-6.46885,-4.09565,18.0177,12.0807,5.08874,-7.87888,33.6623,9.57546,-11.4309,41.9337,-5.73638,4.87655,16.6317,-1.98433,6.79449
48,0,12.3063,-5.21089,7.82595,27.9701,-10.7701,-17.5442,102.936,-9.64218,-17.5087,-5.43077,-4.26141,18.7441,12.3063,5.21089,-7.82595,32.8203,9.59853,-12.079,41.9645,-6.1764,4.98892,17.6013,-2.07312,7.11651
49,0,12.4721,-5.28511,7.74676,30.1966,-11.0715,-17.0266,103.853,-9.52244,-18.0014,-4.34749,-4.39229,19.3132,12.4721,5.28511,-7.74676,31.8153,9.54473,-12.6536,41.8202,-6.55497,5.01716,18.5296,-2.18713,7.52931
50,0,12.5805,-5.31116,7.63614,32.3399,-11.2709,-16.5588,104.557,-9.43914,-18.353,-3.2261,-4.48351,19.7075,12.5805,5.31116,-7.63614,30.6631,9.41463,-13.1445,41.5195,-6.85886,4.99783,19.4055,-2.31107,7.97714
51,0,12.6362,-5.2914,7.49053,34.3943,-11.3679,-16.1617,105.049,-9.40664,-18.5805,-2.079,-4.534,19.9248,12.6362,5.2914,-7.49053,29.3809,9.21303,-13.5424,41.0806,-7.07691,4.96634,20.216,-2.42935,8.40357
52,0,12.6465,-5.22839,7.30703,36.3541,-11.3626,-15.8301,105.323,-9.41576,-18.6912,-0.917752,-4.54324,19.9646,12.6465,5.22839,-7.30703,27.9874,8.9462,-13.8335,40.5198,-7.19619,4.93641,20.9468,-2.53094,8.76905
53,0,12.6193,-5.12637,7.08464,38.2172,-11.2586,-15.5733,105.381,-9.47314,-18.7041,0.24355,-4.51378,19.8379,12.6193,5.12637,-7.08464,26.5012,8.62289,-14.0129,39.8519,-7.21147,4.91039,21.5837,-2.60972,9.05199
54,0,12.5619,-4.98922,6.82228,39.9795,-11.0603,-15.4028,105.223,-9.58836,-18.6367,1.39154,-4.44916,19.5592,12.5619,4.98922,-6.82228,24.9386,8.25212,-14.0788,39.0892,-7.12209,4.8736,22.1123,-2.66513,9.25069
55,0,12.4817,-4.82028,6.51984,41.6351,-10.7716,-15.3066,104.843,-9.74923,-18.493,2.51056,-4.35246,19.1404,12.4817,4.82028,-6.51984,23.3143,7.84207,-14.0359,38.2394,-6.93227,4.79904,22.5197,-2.70208,9.38305
56,0,12.3845,-4.62362,6.17705,43.181,-10.3982,-15.2972,104.246,-9.96947,-18.294,3.58673,-4.23016,18.6076,12.3845,4.62362,-6.17705,21.6391,7.40192,-13.893,37.3076,-6.6513,4.64966,22.7951,-2.72953,9.48135
57,0,12.2756,-4.40216,5.79336,44.6114,-9.94401,-15.3573,103.429,-10.2345,-18.0396,4.60663,-4.08653,17.9775,12.2756,4.40216,-5.79336,19.9215,6.93897,-13.6652,36.2952,-6.29167,4.38284,22.9274,-2.76012,9.59078
58,0,12.1583,-4.15853,5.36799,45.919,-9.41371,-15.4904,102.39,-10.5503,-17.7402,5.55664,-3.92782,17.2758,12.1583,4.15853,-5.36799,18.1666,6.46002,-13.37,35.2011,-5.86787,3.95623,22.9068,-2.80751,9.76021
59,0,12.0356,-3.89557,4.90074,47.1006,-8.81194,-15.692,101.132,-10.9162,-17.4071,6.42692,-3.76109,16.5328,12.0356,3.89557,-4.90074,16.3786,5.9725,-13.0291,34.024,-5.39732,3.33188,22.7238,-2.88567,10.0393
60,0,11.9094,-3.61585,4.39081,48.1471,-8.14204,-15.9406,99.649,-11.3147,-17.0342,7.20641,-3.59054,15.7667,11.9094,3.61585,-4.39081,14.5597,5.48267,-12.664,32.7615,-4.89541,2.47759,22.3676,-3.00777,10.4741
61,0,11.7804,-3.32208,3.83759,49.055,-7.40778,-16.2251,97.9436,-11.7393,-16.6343,7.89012,-3.42367,15.0112,11.7804,3.32208,-3.83759,12.7112,4.99738,-12.2998,31.4126,-4.38,1.37511,21.8286,-3.18474,11.1022
62,0,11.6494,-3.01594,3.24162,49.8192,-6.61271,-16.5336,96.0144,-12.1807,-16.2121,8.47287,-3.26598,14.2923,11.6494,3.01594,-3.24162,10.8351,4.52207,-11.9596,29.9793,-3.86659,0.0191386,21.0964,-3.4248,11.9497
63,0,11.5163,-2.69992,2.60372,50.4366,-5.76093,-16.8584,93.8639,-12.6345,-15.7813,8.95516,-3.12426,13.6422,11.5163,2.69992,-2.60372,8.93425,4.06264,-11.6682,28.4667,-3.37034,-1.58107,20.1599,-3.7336,13.0317
64,0,11.3818,-2.37601,1.92724,50.9041,-4.85794,-17.1758,91.4915,-13.0776,-15.3429,9.33972,-3.00242,13.0803,11.3818,2.37601,-1.92724,7.0129,3.62478,-11.4462,26.8831,-2.90448,-3.40103,19.0071,-4.11304,14.3479
65,0,11.2458,-2.04644,1.21498,51.2229,-3.90938,-17.477,88.9047,-13.5026,-14.9174,9.63349,-2.90743,12.6404,11.2458,2.04644,-1.21498,5.07717,3.21325,-11.3141,25.2417,-2.47982,-5.40271,17.6242,-4.5618,15.884
66,0,11.1089,-1.71373,0.472892,51.3939,-2.92375,-17.7463,86.1087,-13.8923,-14.5106,9.84457,-2.84265,12.3395,11.1089,1.71373,-0.472892,3.13568,2.83218,-11.2885,23.5595,-2.10374,-7.53337,15.995,-5.07431,17.6088
67,0,10.9722,-1.38035,-0.293427,51.4227,-1.90994,-17.9781,83.1157,-14.2396,-14.1366,9.98611,-2.81271,12.2002,10.9722,1.38035,0.293427,1.20026,2.48493,-11.3852,21.858,-1.78226,-9.73783,14.1017,-5.6435,19.4848
68,0,10.8363,-1.0484,-1.07737,51.315,-0.877168,-18.1569,79.9398,-14.5265,-13.7981,10.0698,-2.81879,12.2285,10.8363,1.0484,1.07737,-0.715579,2.17259,-11.6133,20.1609,-1.51548,-11.9573,11.9247,-6.25823,21.4613
69,0,10.7036,-0.72113,-1.87085,51.0795,0.162024,-18.2824,76.5975,-14.7482,-13.4945,10.1126,-2.86163,12.4277,10.7036,0.72113,1.87085,-2.59495,1.89615,-11.9792,18.4958,-1.30212,-14.1296,9.44571,-6.9033,23.4768
70,0,10.5751,-0.401262,-2.66647,50.7274,1.19629,-18.3451,73.1119,-14.8924,-13.2392,10.1265,-2.94362,12.8082,10.5751,0.401262,2.66647,-4.41931,1.65475,-12.4854,16.8922,-1.13874,-16.2006,6.65137,-7.56111,25.4679
71,0,10.4521,-0.0912218,-3.45644,50.2664,2.21388,-18.3378,69.5015,-14.9471,-13.016,10.1302,-3.06079,13.3498,10.4521,0.0912218,3.45644,-6.16981,1.44596,-13.1268,15.3802,-1.01955,-18.1227,3.53784,-8.20963,27.3657
72,0,10.3357,0.206221,-4.23296,49.7131,3.20248,-18.2687,65.8005,-14.9174,-12.8455,10.1381,-3.21663,14.0663,10.3357,-0.206221,4.23296,-7.82682,1.2667,-13.8953,13.9906,-0.939728,-19.8551,0.117346,-8.82419,29.1035
73,0,10.2266,0.489241,-4.98871,49.0756,4.15151,-18.1311,62.0327,-14.7918,-12.6913,10.1644,-3.40108,14.9085,10.2266,-0.489241,4.98871,-9.37153,1.11214,-14.7778,12.754,-0.895364,-21.3697,-3.57716,-9.38001,30.6239
74,0,10.1249,0.755342,-5.71774,48.3681,5.05145,-17.9276,58.2291,-14.5726,-12.5818,10.2185,-3.61803,15.8906,10.1249,-0.755342,5.71774,-10.7868,0.978358,-15.7548,11.6992,-0.884367,-22.6419,-7.48285,-9.85098,31.8742
75,0,10.0302,1.00321,-6.41388,47.6024,5.89488,-17.6505,54.4231,-14.2531,-12.4919,10.3076,-3.85679,16.96,10.0302,-1.00321,6.41388,-12.0573,0.860238,-16.8055,10.854,-0.908852,-23.6575,-11.511,-10.2181,32.8248
76,0,9.94167,1.23062,-7.07296,46.7932,6.6757,-17.3164,50.648,-13.8526,-12.4516,10.44,-4.12196,18.1334,9.94167,-1.23062,7.07296,-13.1704,0.754425,-17.903,10.2431,-0.973231,-24.4089,-15.55,-10.4696,33.4637
77,0,9.85745,1.43692,-7.69169,45.9507,7.3906,-16.9288,46.9334,-13.3776,-12.447,10.6112,-4.40554,19.3706,9.85745,-1.43692,7.69169,-14.117,0.656604,-19.0199,9.88772,-1.08459,-24.8935,-19.4767,-10.604,33.8012
78,0,9.77439,1.62147,-8.26667,45.0838,8.03837,-16.4813,43.3116,-12.8326,-12.4769,10.8193,-4.70002,20.6353,9.77439,-1.62147,8.26667,-14.892,0.563467,-20.1251,9.80505,-1.25198,-25.1147,-23.1672,-10.6303,33.8668
79,0,9.68823,1.7838,-8.79669,44.2002,8.61972,-15.9905,39.8076,-12.2418,-12.5632,11.0564,-5.00721,21.932,9.68823,-1.7838,8.79669,-15.4941,0.47322,-21.1889,10.0078,-1.48542,-25.0814,-26.5172,-10.5652,33.704
80,0,9.59956,1.92383,-9.28004,43.3107,9.1368,-15.4649,36.4487,-11.6221,-12.6762,11.314,-5.31471,23.2063,9.59956,-1.92383,9.28004,-15.9205,0.383414,-22.181,10.504,-1.79308,-24.8057,-29.4412,-10.429,33.3613
81,0,9.50177,2.04266,-9.71639,42.419,9.59405,-14.9119,33.2624,-10.9942,-12.8322,11.5876,-5.62163,24.4537,9.50177,-2.04266,9.71639,-16.1793,0.292767,-23.0765,11.2964,-2.18047,-24.3046,-31.8846,-10.2425,32.887
82,0,9.39458,2.14011,-10.1052,41.5312,9.99544,-14.325,30.269,-10.3689,-13.0229,11.8599,-5.91829,25.6359,9.39458,-2.14011,10.1052,-16.2741,0.200512,-23.853,12.3838,-2.64869,-23.5954,-33.8168,-10.0222,32.32
83,0,9.27196,2.2184,-10.4465,40.6485,10.3452,-13.7234,27.487,-9.77008,-13.2381,12.1209,-6.20121,26.7414,9.27196,-2.2184,10.4465,-16.2187,0.105271,-24.4948,13.7605,-3.19305,-22.6985,-35.2289,-9.77978,31.6874
84,0,9.13385,2.27757,-10.74,39.7762,10.6471,-13.0928,24.938,-9.20458,-13.4596,12.3582,-6.45705,27.7225,9.13385,-2.27757,10.74,-16.0222,0.00704327,-24.9897,15.4169,-3.80349,-21.6359,-36.1311,-9.52092,31.0016
85,0,8.97754,2.31838,-10.9859,38.9167,10.9037,-12.4363,22.635,-8.68488,-13.6757,12.5545,-6.67952,28.5611,8.97754,-2.31838,10.9859,-15.6988,-0.0948504,-25.334,17.3406,-4.46425,-20.4273,-36.5484,-9.24563,30.2608
86,0,8.80353,2.34207,-11.1831,38.0759,11.1176,-11.7475,20.5969,-8.21938,-13.8756,12.7014,-6.86035,29.2329,8.80353,-2.34207,11.1831,-15.2606,-0.20196,-25.5286,19.5157,-5.15635,-19.0929,-36.5212,-8.94954,29.4506
87,0,8.60902,2.35179,-11.3325,37.2548,11.2927,-11.0248,18.8317,-7.81418,-14.0521,12.7816,-6.9951,29.7276,8.60902,-2.35179,11.3325,-14.7246,-0.316935,-25.5795,21.9224,-5.85646,-17.6574,-36.1052,-8.62606,28.5497
88,0,8.39959,2.34136,-11.4324,36.464,11.4236,-10.2692,17.3512,-7.47347,-14.1864,12.784,-7.07803,30.0296,8.39959,-2.34136,11.4324,-14.0972,-0.435619,-25.4956,24.5385,-6.54342,-16.1437,-35.3665,-8.2691,27.5365
89,0,8.17324,2.31671,-11.4844,35.7042,11.515,-9.49069,16.1598,-7.1996,-14.2773,12.7,-7.11135,30.1504,8.17324,-2.31671,11.4844,-13.395,-0.562892,-25.2912,27.3381,-7.19486,-14.5794,-34.3792,-7.87396,26.3916
90,0,7.93643,2.27548,-11.4884,34.9827,11.5639,-8.69719,15.2534,-6.9878,-14.327,12.5144,-7.09927,30.1066,7.93643,-2.27548,11.4884,-12.6232,-0.697712,-24.982,30.293,-7.79295,-12.9948,-33.2219,-7.44023,25.107
91,0,7.69235,2.21551,-11.4451,34.3057,11.567,-7.9132,14.6373,-6.83619,-14.3117,12.2264,-7.04264,29.9009,7.69235,-2.21551,11.4451,-11.7904,-0.837538,-24.5806,33.3727,-8.3222,-11.4202,-31.9661,-6.97069,23.6838
92,0,7.44452,2.1421,-11.3574,33.6744,11.5277,-7.14454,14.2976,-6.73121,-14.2688,11.8305,-6.95514,29.5814,7.44452,-2.1421,11.3574,-10.9042,-0.986909,-24.1044,36.5466,-8.77126,-9.88963,-30.6751,-6.47331,22.1401
93,0,7.20207,2.05649,-11.2276,33.0967,11.4466,-6.4275,14.2277,-6.66658,-14.1689,11.3289,-6.83878,29.1532,7.20207,-2.05649,11.2276,-9.96502,-1.14733,-23.568,39.7847,-9.13339,-8.43122,-29.3958,-5.95785,20.5022
94,0,6.96868,1.95989,-11.0593,32.5757,11.3246,-5.79077,14.4164,-6.63432,-14.0169,10.7355,-6.70316,28.6495,6.96868,-1.95989,11.0593,-8.97753,-1.31894,-22.983,43.058,-9.40411,-7.07249,-28.1606,-5.43581,18.8053
95,0,6.75117,1.85727,-10.8566,32.1121,11.167,-5.24349,14.8456,-6.62119,-13.8064,10.0632,-6.54858,28.0692,6.75117,-1.85727,10.8566,-7.94233,-1.50659,-22.3624,46.3403,-9.58292,-5.83204,-26.9837,-4.91839,17.0875
96,0,6.56204,1.75165,-10.6256,31.7139,10.9796,-4.80703,15.4993,-6.62136,-13.533,9.34146,-6.37962,27.4275,6.56204,-1.75165,10.6256,-6.85239,-1.71412,-21.7196,49.6087,-9.6736,-4.72253,-25.8682,-4.41592,15.3872
97,0,6.40097,1.65012,-10.3728,31.3779,10.7721,-4.50149,16.3607,-6.63423,-13.1865,8.61195,-6.19922,26.7337,6.40097,-1.65012,10.3728,-5.71295,-1.9471,-21.0665,52.8425,-9.68185,-3.75155,-24.8085,-3.9375,13.7409
98,0,6.27854,1.55676,-10.1063,31.1075,10.5539,-4.32859,17.4137,-6.65771,-12.73,7.92475,-5.99853,25.9517,6.27854,-1.55676,10.1063,-4.51596,-2.21051,-20.4166,56.0245,-9.61712,-2.91964,-23.7938,-3.49023,12.1797
99,0,6.19796,1.47714,-9.83389,30.9003,10.3364,-4.27348,18.6362,-6.68982,-12.1608,7.3284,-5.77587,25.0713,6.19796,-1.47714,9.83389,-3.25894,-2.50885,-19.7836,59.1414,-9.49347,-2.2231,-22.8083,-3.07976,10.7299
100,0,6.16457,1.41713,-9.56337,30.7575,10.1327,-4.33639,20.0138,-6.73891,-11.4579,6.88065,-5.52874,24.0788,6.16457,-1.41713,9.56337,-1.93683,-2.84766,-19.1786,62.1806,-9.32367,-1.65875,-21.8416,-2.71049,9.41317
